s,sLabel,st,et
http://www.wikidata.org/entity/Q8080,Летние Олимпийские игры 1896,1896-04-06T00:00:00Z,1896-04-15T00:00:00Z
http://www.wikidata.org/entity/Q8088,Летние Олимпийские игры 1900,1900-05-14T00:00:00Z,1900-10-28T00:00:00Z
http://www.wikidata.org/entity/Q8098,Летние Олимпийские игры 1904,1904-07-01T00:00:00Z,1904-11-23T00:00:00Z
http://www.wikidata.org/entity/Q8105,Внеочередные Олимпийские игры 1906,1906-04-22T00:00:00Z,1906-05-02T00:00:00Z
http://www.wikidata.org/entity/Q8111,Летние Олимпийские игры 1908,1908-04-27T00:00:00Z,1908-10-31T00:00:00Z
http://www.wikidata.org/entity/Q8118,Летние Олимпийские игры 1912,1912-05-05T00:00:00Z,1912-07-27T00:00:00Z
http://www.wikidata.org/entity/Q8128,Летние Олимпийские игры 1920,1920-04-20T00:00:00Z,1920-09-12T00:00:00Z
http://www.wikidata.org/entity/Q8132,Летние Олимпийские игры 1924,1924-05-04T00:00:00Z,1924-07-27T00:00:00Z
http://www.wikidata.org/entity/Q8138,Летние Олимпийские игры 1928,1928-07-28T00:00:00Z,1928-08-12T00:00:00Z
http://www.wikidata.org/entity/Q8143,Летние Олимпийские игры 1932,1932-07-30T00:00:00Z,1932-08-14T00:00:00Z
http://www.wikidata.org/entity/Q8150,Летние Олимпийские игры 1936,1936-08-01T00:00:00Z,1936-08-16T00:00:00Z
http://www.wikidata.org/entity/Q8403,Летние Олимпийские игры 1948,1948-07-29T00:00:00Z,1948-08-14T00:00:00Z
http://www.wikidata.org/entity/Q8407,Летние Олимпийские игры 1952,1952-07-19T00:00:00Z,1952-08-03T00:00:00Z
http://www.wikidata.org/entity/Q8411,Летние Олимпийские игры 1956,1956-11-22T00:00:00Z,1956-12-08T00:00:00Z
http://www.wikidata.org/entity/Q8415,Летние Олимпийские игры 1960,1960-08-25T00:00:00Z,1960-09-11T00:00:00Z
http://www.wikidata.org/entity/Q8420,Летние Олимпийские игры 1964,1964-10-10T00:00:00Z,1964-10-24T00:00:00Z
http://www.wikidata.org/entity/Q8429,Летние Олимпийские игры 1968,1968-10-12T00:00:00Z,1968-10-27T00:00:00Z
http://www.wikidata.org/entity/Q8438,Летние Олимпийские игры 1972,1972-08-26T00:00:00Z,1972-09-11T00:00:00Z
http://www.wikidata.org/entity/Q8444,Летние Олимпийские игры 1976,1976-07-17T00:00:00Z,1976-08-01T00:00:00Z
http://www.wikidata.org/entity/Q8450,Летние Олимпийские игры 1980,1980-07-19T00:00:00Z,1980-08-03T00:00:00Z
http://www.wikidata.org/entity/Q8456,Летние Олимпийские игры 1984,1984-07-28T00:00:00Z,1984-08-12T00:00:00Z
http://www.wikidata.org/entity/Q8470,Летние Олимпийские игры 1988,1988-09-17T00:00:00Z,1988-10-02T00:00:00Z
http://www.wikidata.org/entity/Q8488,Летние Олимпийские игры 1992,1992-07-25T00:00:00Z,1992-08-09T00:00:00Z
http://www.wikidata.org/entity/Q8531,Летние Олимпийские игры 1996,1996-07-20T00:00:00Z,1996-08-05T00:00:00Z
http://www.wikidata.org/entity/Q8544,летние Олимпийские игры 2000,2000-09-15T00:00:00Z,2000-10-01T00:00:00Z
http://www.wikidata.org/entity/Q8558,летние Олимпийские игры 2004,2004-08-13T00:00:00Z,2004-08-29T00:00:00Z
http://www.wikidata.org/entity/Q8567,Летние Олимпийские игры 2008,2008-08-08T00:00:00Z,2008-08-24T00:00:00Z
http://www.wikidata.org/entity/Q8577,Летние Олимпийские игры 2012,2012-07-27T00:00:00Z,2012-08-12T00:00:00Z
http://www.wikidata.org/entity/Q8613,летние Олимпийские игры 2016,2016-08-05T00:00:00Z,2016-08-21T00:00:00Z
http://www.wikidata.org/entity/Q9583,Зимние Олимпийские игры 1924,1924-01-25T00:00:00Z,1924-02-05T00:00:00Z
http://www.wikidata.org/entity/Q9591,Зимние Олимпийские игры 1928,1928-02-11T00:00:00Z,1928-02-19T00:00:00Z
http://www.wikidata.org/entity/Q9596,Зимние Олимпийские игры 1932,1932-02-04T00:00:00Z,1932-02-15T00:00:00Z
http://www.wikidata.org/entity/Q9600,Зимние Олимпийские игры 1936,1936-02-06T00:00:00Z,1936-02-16T00:00:00Z
http://www.wikidata.org/entity/Q9615,Зимние Олимпийские игры 1948,1948-01-30T00:00:00Z,1948-02-08T00:00:00Z
http://www.wikidata.org/entity/Q9623,Зимние Олимпийские игры 1952,1952-02-14T00:00:00Z,1952-02-25T00:00:00Z
http://www.wikidata.org/entity/Q9632,Зимние Олимпийские игры 1956,1956-01-26T00:00:00Z,1956-02-05T00:00:00Z
http://www.wikidata.org/entity/Q9634,Зимние Олимпийские игры 1960,1960-02-18T00:00:00Z,1960-02-28T00:00:00Z
http://www.wikidata.org/entity/Q9636,Зимние Олимпийские игры 1964,1964-01-29T00:00:00Z,1964-02-09T00:00:00Z
http://www.wikidata.org/entity/Q9642,Зимние Олимпийские игры 1968,1968-02-06T00:00:00Z,1968-02-18T00:00:00Z
http://www.wikidata.org/entity/Q9646,Зимние Олимпийские игры 1972,1972-02-03T00:00:00Z,1972-02-13T00:00:00Z
http://www.wikidata.org/entity/Q9651,Зимние Олимпийские игры 1976,1976-02-04T00:00:00Z,1976-02-15T00:00:00Z
http://www.wikidata.org/entity/Q9652,Зимние Олимпийские игры 1980,1980-02-14T00:00:00Z,1980-02-23T00:00:00Z
http://www.wikidata.org/entity/Q9657,Зимние Олимпийские игры 1984,1984-02-08T00:00:00Z,1984-02-19T00:00:00Z
http://www.wikidata.org/entity/Q9658,Зимние Олимпийские игры 1988,1988-02-13T00:00:00Z,1988-02-28T00:00:00Z
http://www.wikidata.org/entity/Q9660,Зимние Олимпийские игры 1992,1992-02-08T00:00:00Z,1992-02-23T00:00:00Z
http://www.wikidata.org/entity/Q9663,Зимние Олимпийские игры 1994,1994-02-12T00:00:00Z,1994-02-27T00:00:00Z
http://www.wikidata.org/entity/Q9664,Зимние Олимпийские игры 1998,1998-02-07T00:00:00Z,1998-02-22T00:00:00Z
http://www.wikidata.org/entity/Q9668,Зимние Олимпийские игры 2002,2002-02-08T00:00:00Z,2002-02-24T00:00:00Z
http://www.wikidata.org/entity/Q9672,Зимние Олимпийские игры 2006,2006-02-10T00:00:00Z,2006-02-26T00:00:00Z
http://www.wikidata.org/entity/Q9674,зимние Олимпийские игры 2010,2010-02-12T00:00:00Z,2010-02-28T00:00:00Z
http://www.wikidata.org/entity/Q9678,зимние Олимпийские игры 2014,2014-02-07T00:00:00Z,2014-02-23T00:00:00Z
http://www.wikidata.org/entity/Q9680,зимние Олимпийские игры 2018,2018-02-09T00:00:00Z,2018-02-25T00:00:00Z
http://www.wikidata.org/entity/Q181278,Летние Олимпийские игры 2020,2021-07-24T00:00:00Z,2021-08-08T00:00:00Z
http://www.wikidata.org/entity/Q193074,Зимние Олимпийские игры 2022,2022-02-04T00:00:00Z,2022-02-20T00:00:00Z
http://www.wikidata.org/entity/Q995653,Летние Олимпийские игры 2024,2030-07-26T00:00:00Z,2024-08-11T00:00:00Z
http://www.wikidata.org/entity/Q4630399,Зимние Олимпийские игры 2026,2026-02-06T00:00:00Z,2026-02-22T00:00:00Z
http://www.wikidata.org/entity/Q29389034,Зимние Олимпийские игры 2030,2030-02-08T00:00:00Z,2030-02-24T00:00:00Z
http://www.wikidata.org/entity/Q31039462,Летние Олимпийские игры 2032,2032-07-23T00:00:00Z,2032-08-08T00:00:00Z
http://www.wikidata.org/entity/Q113511381,2034 Winter Olympics,2034-02-10T00:00:00Z,2034-02-26T00:00:00Z
